年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,1.食品及非酒精飲料,2.酒精飲料,3.菸草,4.衣著及鞋類,5.住屋及水電瓦斯等費用,6.家具設備及家務服務,7.醫療保健,8.交通及通訊,9.休閒與文化,10.教育,11.餐廳及旅館,12.什項消費,(1)套裝旅遊(不含自助旅遊),(2)娛樂消遣及文化服務,(3)書報雜誌文具,(4)教育消遣康樂器材及其附屬品
2020,新北市,"1,594,111",2.86,2.49,1.34,1.88,"1,352,548","791,454","97,025","7,873","22,319","227,434","23,101","134,485","61,216","25,049","35,668","25,389","97,383","34,514","12,125","12,242","3,505","7,796"
2020,台北市,"1,060,320",3.01,2.59,1.40,1.89,"1,716,591","1,109,351","162,847","7,722","29,817","303,628","35,989","157,974","73,614","25,913","67,334","36,500","149,609","58,404","31,741","18,985","4,348","12,261"
2020,桃園市,"834,453",3.25,2.61,1.54,1.91,"1,424,027","878,957","132,029","10,144","28,515","211,147","22,183","137,772","89,930","26,427","27,188","33,113","112,416","48,093","6,073","11,338","3,919","5,859"
2020,台中市,"993,132",2.99,2.51,1.41,1.75,"1,289,700","867,844","118,093","9,199","27,371","210,881","21,104","145,068","75,141","24,328","38,435","29,598","120,491","48,135","14,795","11,852","4,254","7,534"
2020,台南市,"699,095",2.82,2.38,1.37,1.64,"1,086,475","711,289","109,474","7,217","16,251","156,914","17,646","133,637","72,033","20,084","20,990","25,060","97,467","34,516","5,095","9,069","2,726","4,099"
2020,高雄市,"1,113,881",2.90,2.46,1.35,1.72,"1,224,100","805,946","116,057","8,845","18,807","176,426","22,010","144,629","74,329","22,284","29,993","27,760","124,433","40,372","9,983","10,612","3,522","5,877"
2020,宜蘭縣,"171,495",2.94,2.47,1.29,1.83,"1,138,365","754,386","132,090","11,027","19,603","157,082","25,538","135,695","79,647","21,269","28,348","20,442","77,265","46,380","11,987","7,802","2,875","5,684"
2020,新竹縣,"202,656",3.24,2.67,1.57,1.86,"1,619,782","1,036,565","136,894","12,968","28,838","258,700","38,816","135,506","159,946","28,279","37,384","38,456","114,127","46,651","6,332","15,456","4,133","11,463"
2020,苗栗縣,"192,076",3.02,2.53,1.31,1.66,"1,161,999","679,104","96,925","11,203","21,589","142,549","19,332","120,785","87,678","23,816","23,795","24,713","64,094","42,625","5,831","9,348","3,238","5,378"
2020,彰化縣,"394,507",2.82,2.41,1.34,1.62,"996,066","602,152","107,798","7,265","17,157","127,772","14,106","119,434","54,220","19,419","21,056","27,037","59,658","27,231","6,332","7,174","4,149","3,401"
2020,南投縣,"179,226",2.79,2.41,1.30,1.62,"997,605","631,895","103,635","10,416","16,610","129,738","16,579","138,393","68,280","19,077","19,844","16,949","61,331","31,045","5,127","7,331","3,004","4,382"
2020,雲林縣,"242,888",2.85,2.40,1.41,1.61,"988,062","624,843","93,496","15,043","13,623","120,500","18,060","144,483","57,953","18,881","18,637","19,690","67,033","37,445","4,548","8,153","2,500","3,435"
2020,嘉義縣,"184,112",2.55,2.25,1.26,1.53,"906,554","597,640","109,207","15,742","12,649","93,010","14,004","139,502","71,649","17,479","13,871","12,368","66,370","31,790","3,326","5,458","2,007","3,081"
2020,屏東縣,"290,649",2.80,2.37,1.34,1.63,"1,064,508","670,799","101,475","11,516","16,994","113,226","19,020","123,743","64,803","20,492","23,052","21,846","116,713","37,919","8,466","7,812","2,951","3,823"
2020,台東縣,"83,395",2.26,1.98,1.20,1.48,"891,340","510,527","75,789","12,409","11,732","127,306","10,421","113,174","50,173","16,486","11,627","5,740","48,434","27,234","2,462","5,637","1,209","2,319"
2020,花蓮縣,"127,030",2.60,2.22,1.07,1.58,"1,032,499","602,175","98,018","8,119","15,175","131,491","15,368","137,896","50,165","20,131","21,554","11,568","65,395","27,295","8,430","7,846","2,098","3,181"
2020,澎湖縣,"41,378",2.46,2.09,1.14,1.53,"1,091,011","582,716","109,400","8,008","20,377","123,557","15,799","123,940","40,965","19,867","19,050","10,085","62,839","28,829","4,569","8,999","1,887","3,594"
2020,基隆市,"155,018",2.64,2.29,1.08,1.60,"1,106,963","716,855","115,343","10,616","28,888","151,689","28,097","137,671","50,058","18,946","38,665","17,724","76,620","42,539","14,165","12,884","4,172","7,444"
2020,新竹市,"169,186",3.01,2.44,1.30,1.73,"1,618,903","955,542","153,574","8,947","21,940","249,862","26,213","131,505","76,901","22,141","42,346","41,035","129,191","51,886","14,756","15,052","4,240","8,298"
2020,嘉義市,"100,858",2.87,2.39,1.15,1.61,"1,225,219","745,830","117,286","10,131","16,335","151,186","16,783","135,535","64,210","20,355","26,142","26,775","121,198","39,894","8,082","8,840","3,335","5,884"
2021,新北市,"1,612,821",2.95,2.54,1.40,1.93,"1,381,603","814,953","104,448","8,315","22,984","231,940","24,283","140,579","65,414","26,676","26,177","28,279","100,264","35,595","1,694","12,327","3,731","8,425"
2021,台北市,"1,057,695",2.75,2.43,1.28,1.88,"1,732,126","1,066,065","150,788","7,248","28,002","314,645","41,556","161,404","66,433","25,239","43,420","31,148","141,084","55,100","8,812","17,715","3,941","12,952"
2021,桃園市,"853,848",3.07,2.54,1.44,1.83,"1,448,909","862,861","130,308","10,320","26,680","213,305","20,705","136,275","91,190","26,915","24,223","31,817","107,150","43,974","1,487","12,117","3,970","6,649"
2021,台中市,"1,009,568",2.92,2.45,1.40,1.76,"1,304,508","868,111","122,487","9,947","27,559","218,535","22,829","144,003","78,259","24,335","27,413","30,385","113,265","49,094","2,346","12,906","4,264","7,896"
2021,台南市,"705,803",2.85,2.45,1.39,1.75,"1,120,580","709,486","112,337","6,964","15,762","154,569","16,968","134,178","79,137","20,654","16,965","22,846","96,107","32,999","1,069","9,474","2,701","3,722"
2021,高雄市,"1,123,351",2.87,2.44,1.33,1.75,"1,231,562","799,016","115,796","8,817","18,806","174,365","21,798","156,939","69,905","22,525","20,703","25,732","125,165","38,463","1,888","10,000","3,130","5,685"
2021,宜蘭縣,"173,265",2.87,2.39,1.18,1.71,"1,136,419","771,878","138,903","10,142","22,132","146,925","28,151","157,811","87,796","21,995","20,756","17,545","73,147","46,576","2,732","8,717","3,326","5,981"
2021,新竹縣,"207,824",3.26,2.57,1.46,1.85,"1,689,337","1,069,700","139,540","13,457","30,408","238,707","35,211","161,281","149,142","30,227","37,826","47,663","121,427","64,811","1,702","15,972","5,437","14,715"
2021,苗栗縣,"194,320",3.09,2.61,1.41,1.84,"1,214,424","694,248","107,532","12,759","19,703","137,206","19,732","141,151","91,629","26,144","18,509","18,763","57,364","43,758","1,160","8,906","2,940","5,503"
2021,彰化縣,"397,597",3.08,2.51,1.48,1.78,"1,086,809","654,340","125,203","8,650","18,464","133,908","18,762","127,222","64,852","21,167","17,812","27,525","58,345","32,431","1,867","7,766","4,198","3,981"
2021,南投縣,"179,671",2.93,2.48,1.41,1.68,"985,686","618,074","111,475","12,501","18,151","109,069","14,351","139,357","65,165","19,886","16,323","17,986","59,844","33,966","1,741","7,471","2,760","4,351"
