年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,2.菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品,區域
2011,新北市,"1,418,021",3.32,2.63,1.54,1.74,"1,116,342","745,901","109,957","9,504","25,353","199,123","17,147","96,069","60,455","26,612","37,874","40,260","83,305","40,243","13,164","11,309","5,918","7,482",北部
2011,台北市,"991,169",3.28,2.68,1.41,1.7,"1,537,890","996,646","143,530","7,916","27,855","303,328","26,169","123,068","76,625","30,673","70,996","40,509","83,936","62,041","34,596","16,088","7,497","12,814",北部
2011,桃園市,"860,512",3.45,2.67,1.57,1.68,"1,100,346","726,320","109,312","9,088","23,133","169,404","17,117","113,235","71,989","24,781","33,962","39,897","76,191","38,211","11,837","9,845","6,383","5,896",北部
2011,台中市,"644,201",3.19,2.56,1.57,1.7,"948,383","630,810","97,558","8,729","16,860","136,698","13,974","101,890","71,821","21,289","26,334","34,452","68,811","32,395","8,725","7,265","4,964","5,380",中部
2011,台南市,"1,029,122",3.16,2.54,1.41,1.64,"1,043,941","686,354","100,876","9,771","19,179","152,699","16,307","121,739","62,196","22,979","31,647","36,527","77,494","34,937","11,079","9,687","5,069","5,812",南部
2011,高雄市,"155,006",3.17,2.51,1.22,1.61,"877,016","602,332","92,450","10,397","17,388","125,891","13,557","128,784","58,280","18,390","24,931","26,813","50,733","34,717","8,388","7,342","4,497","4,705",南部
2011,宜蘭縣,"679,262",3.52,2.62,1.55,1.76,"1,183,732","822,232","125,929","10,830","27,961","189,781","21,585","91,504","100,742","25,880","46,862","43,315","92,709","45,134","18,599","11,505","5,830","10,928",北部
2011,新竹縣,"163,231",3.6,2.71,1.64,1.84,"1,372,358","907,729","112,478","11,480","31,847","188,925","27,986","112,667","116,141","30,182","55,742","56,089","95,134","69,058","25,842","12,750","6,449","10,700",北部
2011,苗栗縣,"173,859",3.57,2.78,1.57,1.77,"1,014,144","656,067","84,698","10,907","23,243","141,761","18,914","108,655","94,223","23,912","28,777","32,971","48,395","39,611","9,665","8,011","3,805","7,297",中部
2011,彰化縣,"365,452",3.54,2.71,1.68,1.71,"920,937","579,670","102,851","8,095","17,977","123,898","12,114","92,170","60,460","19,604","24,141","35,914","55,220","27,226","7,968","6,269","4,784","5,121",中部
