年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,酒精飲料,菸草,衣著及鞋類,住屋及水電瓦斯等費用,家具設備及家務服務,醫療保健,交通及通訊,休閒與文化,教育,餐廳及旅館,什項消費
2020,新北市,1594111,2.86,2.49,1.34,1.88,1352548,791454.2144599999,97024.9288,7873.39305,22318.63795,227433.5308,23100.55593,134484.9465,61215.72117,25048.76617,35667.728,25388.96691,97383.26235,34513.77683
2020,台北市,1060320,3.01,2.59,1.4,1.89,1716591,1109350.852955,162847.1075,7722.297425,29816.92521,303628.3959,35989.20637,157973.5484,73613.88423,25912.96001,67334.18371,36499.60141,149608.6473,58404.09549
2020,桃園市,834453,3.25,2.61,1.54,1.91,1424027,878957.19278,132028.9735,10143.61015,28515.49396,211146.8964,22183.33753,137772.1852,89930.24244,26426.76631,27188.44531,33113.07593,112415.6371,48092.52895
2020,台中市,993132,2.99,2.51,1.41,1.75,1289700,867843.959639,118092.8416,9199.036719,27371.00836,210881.3096,21103.91077,145068.3762,75141.07685,24328.0386,38434.5925,29597.59025,120491.0122,48135.16599
2020,台南市,699095,2.82,2.38,1.37,1.64,1086475,711289.1764190001,109473.5503,7216.683239,16250.50728,156914.462,17646.31334,133636.7245,72032.92148,20084.42474,20989.62344,25060.46599,97467.48152,34516.01859
2020,高雄市,1113881,2.9,2.46,1.35,1.72,1224100,805945.740341,116057.4155,8844.794821,18806.93442,176426.3796,22009.92084,144629.1453,74329.39356,22284.10289,29992.69513,27760.48317,124432.9502,40371.52491
2020,宜蘭縣,171495,2.94,2.47,1.29,1.83,1138365,754386.21007,132090.3104,11027.03746,19603.12761,157081.9071,25537.97275,135694.9875,79646.65927,21269.02851,28348.12935,20441.79464,77265.07999,46380.17549
2020,新竹縣,202656,3.24,2.67,1.57,1.86,1619782,1036564.9336,136894.2688,12967.75674,28838.21425,258700.4532,38815.91304,135505.5993,159946.1949,28279.31187,37383.82964,38455.58299,114127.2209,46650.58797
2020,苗栗縣,192076,3.02,2.53,1.31,1.66,1161999,679103.741,96924.57831,11203.05071,21589.4542,142548.7668,19331.82707,120785.1646,87677.86313,23815.63082,23795.30626,24713.18378,64093.59932,42625.316
2020,彰化縣,394507,2.82,2.41,1.34,1.62,996066,602152.271258,107797.6761,7264.503628,17157.41909,127772.1742,14105.61482,119434.0478,54220.18827,19419.47132,21055.62989,27036.60915,59657.90092,27231.03607
2020,南投縣,179226,2.79,2.41,1.3,1.62,997605,631894.93761,103634.8203,10415.73787,16609.60945,129737.8196,16579.39443,138393.1294,68279.70704,19077.03863,19843.52263,16948.88844,61330.53466,31044.73516
2020,雲林縣,242888,2.85,2.4,1.41,1.61,988062,624843.2066,93495.57249,15042.9084,13623.49182,120499.9244,18060.33914,144482.7341,57952.81877,18880.97189,18636.65258,19689.58495,67032.86897,37445.33909
2020,嘉義縣,184112,2.55,2.25,1.26,1.53,906554,597639.97829,109206.8252,15742.32849,12648.50768,93009.56315,14004.2466,139501.8316,71649.35535,17478.53564,13871.09543,12368.02109,66370.04722,31789.62084
2020,屏東縣,290649,2.8,2.37,1.34,1.63,1064508,670799.3202500001,101474.6044,11516.02106,16994.20237,113225.9904,19020.46337,123743.135,64803.33536,20491.84005,23051.50216,21845.64789,116713.2422,37919.33599
2020,台東縣,83395,2.26,1.98,1.2,1.48,891340,510526.64071199996,75789.30963,12409.42787,11732.40401,127306.4032,10420.84453,113174.0416,50172.7721,16486.03997,11626.54597,5740.316682,48434.33276,27234.20239
2020,花蓮縣,127030,2.6,2.22,1.07,1.58,1032499,602174.9575629999,98018.11997,8118.920723,15174.57252,131491.4557,15368.23493,137895.5749,50164.86908,20131.31087,21553.77493,11567.7756,65394.87669,27295.47165
2020,澎湖縣,41378,2.46,2.09,1.14,1.53,1091011,582716.051753,109400.2278,8007.577043,20376.62753,123556.6132,15799.31778,123939.9872,40965.34927,19867.3169,19049.63789,10084.71272,62839.44288,28829.24154
2020,基隆市,155018,2.64,2.29,1.08,1.6,1106963,716854.9492800001,115342.6317,10616.03589,28888.46977,151689.2876,28096.54499,137670.7854,50057.73229,18945.93568,38664.60035,17723.61895,76620.28518,42539.02148
2020,新竹市,169186,3.01,2.44,1.3,1.73,1618903,955541.504445,153574.1608,8947.151795,21939.86512,249862.1655,26213.10951,131505.1945,76900.50089,22140.86933,42346.30126,41035.23966,129190.545,51886.40108
2020,嘉義市,100858,2.87,2.39,1.15,1.61,1225219,745829.79982,117286.1801,10130.83839,16335.36657,151185.791,16783.17032,135535.1476,64210.08392,20354.95984,26141.54054,26774.51746,121198.4982,39893.70588
2021,新北市,1612821,2.95,2.54,1.4,1.93,1381603,814953.283505,104447.7414,8314.974105,22984.23164,231939.5338,24282.71629,140578.5629,65413.87352,26675.76126,26177.40254,28279.43241,100263.6218,35595.43184
2021,台北市,1057695,2.75,2.43,1.28,1.88,1732126,1066065.453051,150787.9293,7247.926791,28001.50904,314645.2961,41555.84656,161403.5942,66433.35867,25238.66771,43419.73141,31147.80749,141084.1633,55099.62248
2021,桃園市,853848,3.07,2.54,1.44,1.83,1448909,862860.5168900001,130307.8607,10319.53579,26680.13342,213304.6773,20705.09088,136275.0925,91189.6589,26914.79599,24222.7726,31816.84201,107149.9925,43974.0643
2021,台中市,1009568,2.92,2.45,1.4,1.76,1304508,868111.2570699998,122487.2045,9947.06049,27559.14015,218534.8822,22829.04459,144003.1283,78259.23557,24335.46422,27412.76211,30384.6458,113264.5946,49094.09454
2021,台南市,705803,2.85,2.45,1.39,1.75,1120580,709486.2472200001,112336.6184,6964.4916,15761.67064,154568.7749,16967.94426,134178.2451,79136.79661,20654.26832,16965.28197,22846.22889,96107.08148,32998.84505
2021,高雄市,1123351,2.87,2.44,1.33,1.75,1231562,799015.7227169999,115795.6241,8817.211877,18806.11527,174365.3834,21798.18082,156939.443,69904.57718,22525.22338,20703.04485,25732.2046,125165.3449,38463.36934
2021,宜蘭縣,173265,2.87,2.39,1.18,1.71,1136419,771878.2402100001,138903.4743,10141.73697,22132.32291,146924.7857,28150.56437,157810.6729,87796.46875,21994.82827,20755.72371,17545.27139,73146.84179,46575.54915
2021,新竹縣,207824,3.26,2.57,1.46,1.85,1689337,1069699.7934599998,139539.9431,13456.64671,30407.92141,238706.865,35211.468,161280.5596,149141.6797,30227.42152,37826.42051,47662.91285,121427.3732,64810.58186
2021,苗栗縣,194320,3.09,2.61,1.41,1.84,1214424,694248.1889199999,107531.8063,12758.61028,19702.52375,137205.8406,19732.43133,141151.0381,91628.50349,26143.58528,18508.57241,18763.34888,57364.11978,43757.80872
2021,彰化縣,397597,3.08,2.51,1.48,1.78,1086809,654340.075565,125203.3758,8649.874315,18463.87302,133907.5752,18761.80156,127222.0193,64852.26073,21166.62949,17811.89167,27525.22577,58344.87675,32430.67196
2021,南投縣,179671,2.93,2.48,1.41,1.68,985686,618073.72002,111474.649,12500.83231,18150.70641,109068.7281,14351.37674,139357.3932,65165.08779,19886.45727,16322.8102,17986.05714,59844.10095,33965.52091
2021,雲林縣,244369,2.7,2.3,1.26,1.59,1024191,612098.0591200001,87407.13385,13036.65592,14009.82329,114742.5015,17878.58655,144381.9046,67290.53963,19370.58797,14247.74365,15390.89899,67766.67812,36575.00505
2021,嘉義縣,184817,2.66,2.34,1.14,1.58,916631,599390.4397000001,111437.7386,14428.22966,11064.63808,96793.14941,13214.9683,148381.1179,61895.12653,16829.60816,11132.66545,13831.44639,70448.19832,29933.5529
2021,屏東縣,292214,2.67,2.24,1.29,1.63,1046302,646957.71529,89942.60887,10569.44835,16262.71408,110823.1288,16362.02479,135894.0614,63998.36722,20207.41409,17262.54177,17356.90525,112067.3462,36211.15447
2021,台東縣,83767,2.43,2.07,1.09,1.47,911136,577369.7368239999,83512.33485,15257.19317,10750.56093,145795.2367,9605.941059,136775.4906,58572.77634,19174.62139,11358.74668,8369.546655,51156.53021,27040.75824
