年份,地區,休閒與文化類別,類別金額
2020,新北市,套裝旅遊,"12,125"
2020,台北市,套裝旅遊,"31,741"
2020,桃園市,套裝旅遊,"6,073"
2020,台中市,套裝旅遊,"14,795"
2020,台南市,套裝旅遊,"5,095"
2020,高雄市,套裝旅遊,"9,983"
2020,宜蘭縣,套裝旅遊,"11,987"
2020,新竹縣,套裝旅遊,"6,332"
2020,苗栗縣,套裝旅遊,"5,831"
2020,彰化縣,套裝旅遊,"6,332"
2020,南投縣,套裝旅遊,"5,127"
2020,雲林縣,套裝旅遊,"4,548"
2020,嘉義縣,套裝旅遊,"3,326"
2020,屏東縣,套裝旅遊,"8,466"
2020,台東縣,套裝旅遊,"2,462"
2020,花蓮縣,套裝旅遊,"8,430"
2020,澎湖縣,套裝旅遊,"4,569"
2020,基隆市,套裝旅遊,"14,165"
2020,新竹市,套裝旅遊,"14,756"
2020,嘉義市,套裝旅遊,"8,082"
2021,新北市,套裝旅遊,"1,694"
2021,台北市,套裝旅遊,"8,812"
2021,桃園市,套裝旅遊,"1,487"
2021,台中市,套裝旅遊,"2,346"
2021,台南市,套裝旅遊,"1,069"
2021,高雄市,套裝旅遊,"1,888"
2021,宜蘭縣,套裝旅遊,"2,732"
2021,新竹縣,套裝旅遊,"1,702"
2021,苗栗縣,套裝旅遊,"1,160"
2021,彰化縣,套裝旅遊,"1,867"
2021,南投縣,套裝旅遊,"1,741"
2021,雲林縣,套裝旅遊,"1,034"
2021,嘉義縣,套裝旅遊,763
2021,屏東縣,套裝旅遊,"2,106"
2021,台東縣,套裝旅遊,"1,327"
2021,花蓮縣,套裝旅遊,810
2021,澎湖縣,套裝旅遊,791
2021,基隆市,套裝旅遊,"2,286"
2021,新竹市,套裝旅遊,"4,192"
2021,嘉義市,套裝旅遊,984
2022,新北市,套裝旅遊,"3,776"
2022,台北市,套裝旅遊,"12,489"
2022,桃園市,套裝旅遊,"2,121"
2022,台中市,套裝旅遊,"4,488"
2022,台南市,套裝旅遊,"2,266"
2022,高雄市,套裝旅遊,"2,592"
2022,宜蘭縣,套裝旅遊,"2,395"
2022,新竹縣,套裝旅遊,"3,321"
2022,苗栗縣,套裝旅遊,"1,769"
2022,彰化縣,套裝旅遊,"2,302"
2022,南投縣,套裝旅遊,"2,176"
2022,雲林縣,套裝旅遊,"1,213"
2022,嘉義縣,套裝旅遊,"1,383"
2022,屏東縣,套裝旅遊,"2,620"
2022,台東縣,套裝旅遊,"1,095"
2022,花蓮縣,套裝旅遊,"1,711"
2022,澎湖縣,套裝旅遊,756
2022,基隆市,套裝旅遊,"3,940"
2022,新竹市,套裝旅遊,"3,422"
2022,嘉義市,套裝旅遊,"1,616"
2023,新北市,套裝旅遊,"12,825"
2023,台北市,套裝旅遊,"25,413"
2023,桃園市,套裝旅遊,"10,637"
2023,台中市,套裝旅遊,"11,469"
2023,台南市,套裝旅遊,"5,988"
2023,高雄市,套裝旅遊,"9,936"
2023,宜蘭縣,套裝旅遊,"6,584"
2023,新竹縣,套裝旅遊,"7,949"
2023,苗栗縣,套裝旅遊,"9,906"
2023,彰化縣,套裝旅遊,"7,032"
2023,南投縣,套裝旅遊,"4,629"
2023,雲林縣,套裝旅遊,"3,291"
2023,嘉義縣,套裝旅遊,"3,501"
2023,屏東縣,套裝旅遊,"5,276"
2023,台東縣,套裝旅遊,"6,508"
2023,花蓮縣,套裝旅遊,"2,867"
2023,澎湖縣,套裝旅遊,"4,070"
2023,基隆市,套裝旅遊,"8,997"
2023,新竹市,套裝旅遊,"18,363"
2023,嘉義市,套裝旅遊,"11,584"
2020,新北市,娛樂消遣及文化服務,"12,242"
2020,台北市,娛樂消遣及文化服務,"18,985"
2020,桃園市,娛樂消遣及文化服務,"11,338"
2020,台中市,娛樂消遣及文化服務,"11,852"
2020,台南市,娛樂消遣及文化服務,"9,069"
2020,高雄市,娛樂消遣及文化服務,"10,612"
2020,宜蘭縣,娛樂消遣及文化服務,"7,802"
2020,新竹縣,娛樂消遣及文化服務,"15,456"
2020,苗栗縣,娛樂消遣及文化服務,"9,348"
2020,彰化縣,娛樂消遣及文化服務,"7,174"
2020,南投縣,娛樂消遣及文化服務,"7,331"
2020,雲林縣,娛樂消遣及文化服務,"8,153"
2020,嘉義縣,娛樂消遣及文化服務,"5,458"
2020,屏東縣,娛樂消遣及文化服務,"7,812"
2020,台東縣,娛樂消遣及文化服務,"5,637"
2020,花蓮縣,娛樂消遣及文化服務,"7,846"
2020,澎湖縣,娛樂消遣及文化服務,"8,999"
2020,基隆市,娛樂消遣及文化服務,"12,884"
2020,新竹市,娛樂消遣及文化服務,"15,052"
