年份,年齡,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2020,未滿30歲,9673.3693424,12493,2352.9141974,7335.4012886
2020,30～34歲,11616.25446,12518,2375.5246078,8476.0268221
2020,35～39歲,14241.606934,13573,3555.6203025,8192.0576364
2020,40～44歲,12082.917965,15083,4985.3674787,7715.6420792
2020,45～54歲,14195.816164,13078,6293.3451599,8049.3342216
2020,55～64歲,13814.16549,11374,3141.9554031,7368.2821842
2020,65歲及以上,7948.2955403,7313,1221.9066632,3559.256415
2021,未滿30歲,2182.8598899,11701,2018.0493772,8045.0291149
2021,30～34歲,2185.5740834,12268,2317.7544509,9006.9247626
2021,35～39歲,2839.9620701,14585,3531.8144582,9186.2197262
2021,40～44歲,2398.8803611,14992,5260.8339162,8334.7619765
2021,45～54歲,2808.4104252,13404,6367.8905553,8927.0519178
2021,55～64歲,3131.9071312,11357,3039.6775884,7554.9184821
2021,65歲及以上,2017.0952578,7325,1132.6391769,3690.9238181
2022,未滿30歲,3789.6920076,12715,2304.0061926,9229.0968533
2022,30～34歲,3792.2256452,14195,2272.8133129,10268.841001
2022,35～39歲,3837.8803843,14307,3279.6403199,9216.1253157
2022,40～44歲,4650.9746633,15052,5106.6021261,9251.4554927
2022,45～54歲,4712.106425,13407,6244.1848009,9515.3277846
2022,55～64歲,4555.1260044,11757,2882.3765482,8535.0867573
2022,65歲及以上,2720.0744564,7752,1026.0169465,3594.504672
2023,未滿30歲,9637.0,13056,2042.0,9358.0
2023,30～34歲,14795.0,14308,2387.0,9634.0
2023,35～39歲,11000.0,14917,3293.0,9410.0
2023,40～44歲,12174.0,17074,4929.0,8866.0
2023,45～54歲,12589.0,14085,6203.0,9230.0
2023,55～64歲,13242.0,12317,2682.0,8180.0
2023,65歲及以上,7996.0,8322,993.0,4030.0
